YEAR	EXTENDED_YEAR	EVENT	COUNTRY	SIGNIFICANCE	CATEGORY	PosInInches	TickPosInInches	Yalign	bugavoidinglastframeonline
1955	19551	Robert McNeil Jr. creates Tylenol	US	Originally marketed as "Tylenol Elixir for Children," the product's packing is modeled after a fire engine and advertised "for little hotheads." 	Discovery/Invention	128.640625	116.840625	m	hmmm
1955	19550	Poison Control Center opens at UA College of Pharmacy	US	In the early 1950s, Dr. Albert Picchioni, who had trained at the country's first Poison Control Center, moves to Tucson. In 1955, he founds the country's second Center, located here in the College of Pharmacy.	Education	129.60625	117.80625	m	hmmm
1955	19550	The Upjohn Pharmacy opens in Disneyland	US	One of the original lessees of Main Street U.S.A., the Upjohn Pharmacy showcases pharmacy "then and now."	World event	128.640625	116.840625	m	hmmm
1956	19560	First pressurized metered dose inhaler approved	US	Riker Pharmaceuticals (now 3M Pharmaceuticals) introduces the first pressurized metered dose inhaler, a significant development for drug delivery.	Discovery/Invention	130.571875	118.771875	m	hmmm
1957	19570	H2N2 Pandemic	(Global)	In February 1957, a new influenza A (H2N2) virus emerges in East Asia, triggering a pandemic. It is reported in Singapore in February 1957, Hong Kong in April 1957, and in coastal cities in the United States in summer 1957. The estimated number of deaths is 1.1 million worldwide and 116,000 in the United States.	Disease/Catastrophe	131.5375	119.7375	m	hmmm
1957	19571	Thalidomide disaster	Europe	Between 1957 and 1962, pregnant women all over the world take thalidomide, a non-barbiturate sedative, for morning sickness. After it is discovered that the drug causes birth defects and infant mortality, the Drug Efficacy Amendment is adopted, but not before some 10,000 children are affected. The incident will later be mentioned in Billy Joel's hit song "We Didn't Start the Fire."	Disease/Catastrophe	132.503125	120.703125	m	hmmm
1962	19620	Rite-Aid founded	US	The first Rite-Aid store opens as Thrif D Discount Center in Scranton, Pennsylvania. By 1965, the company has expanded to five states, but the "Rite-Aid" name will not be introduced until 1968.	Drug Company History	133.46875	121.66875	m	hmmm
1962	19620	First drug information center established at the University of Kentucky	US	Its creation marks a significant step in the transition of the pharmacist as drug distributor to the pharmacist as medication therapy expert.	Education	133.46875	121.66875	m	hmmm
1962	19620	Drug Efficacy Amendment of 1962	US	Following the thalidomide disaster, this law requires manufacturers to report adverse drug reactions to the FDA and it mandates proof of efficacy for approval of new drugs.	Legislation	133.46875	121.66875	m	hmmm
1963	19630	CVS founded	US	The first CVS (Consumer Value Stores) store is founded in Lowell, Massachusetts, selling health and beauty products. Within a year, the chain grows to 17 locations.	Drug Company History	134.434375	122.634375	m	hmmm
1965	19650	Medicare bill passed	US	On July 30, 1965, President Lyndon B. Johnson signs into law the bill that leads to Medicare and Medicaid. This law formally introduces the concept of a consultant pharmacist.	Legislation	135.4	123.6	m	hmmm
1966	19660	History of Pharmacy Museum founded	US	Jesse Hurlbut, the former Inspector of the Arizona State Board of Pharmacy, donates his personal collection of pharmacy artifacts to this college to establish the History of Arizona Pharmacy Museum.	Education	136.365625	124.565625	m	hmmm
1968	19680	Vice President Hubert Humphrey, RPh, runs for President against Richard Nixon	US	Hubert Humprey, a career pharmacist, Minnesota Senator, and US Vice President runs against Nixon and loses the election by less than 1% of the popular vote	Health Science History	137.33125	125.53125	m	hmmm
1969	19690	American Society of Consultant Pharmacists established	US	Founded to represent pharmacists, health care professionals, and students serving the medication needs of older adults.	Health Science History	138.296875	126.496875	m	hmmm
1970	19700	First dry powder inhaler approved in the US	US	A new form of aerosol drug delivery, the Intal Spinhaler becomes the first dry powder inhaler.	Discovery/Invention	139.2625	127.4625	m	hmmm
1970	19700	Controlled Substances Act of 1970	US	Establishes Drug Enforcement Administration (DEA) and creates five controlled substance schedules with prescription limitations for each.	Legislation	139.2625	127.4625	m	hmmm
1970	19701	Poison Prevention Packaging Act of 1970	US	Requires dangerous substances to be packaged in child-resistant containers. Packaging must be significantly difficult for children under five years of age to open within a reasonable time, but not difficult for adults to use properly.	Legislation	140.228125	128.428125	m	hmmm
1971	19710	War on Drugs begins	US	In June 1971, President Nixon calls drug abuse “public enemy number one,” and he increases federal funding to combat it. The so-called "War on Drugs" accelerates during Ronald Reagan's presidency, when the crack cocaine epidemic reaches its height. In 1984, Nancy Reagan spearheads the famous "Just Say No" campaign.	Disease/Catastrophe	141.19375	129.39375	m	hmmm
1974	19740	American Society for Pharmaceutical Law founded	US	Created as a nonprofit organization for attorneys and pharmacists with an interest in law as it applies to the pharmacy profession.	Legislation	142.159375	130.359375	m	hmmm
1976	19760	APhA establishes Board of Pharmaceutical Specialities	US	The APhA House of Delegates recommends a "board with independent decision-making authority be established." Its purpose is to recognize specialized knowledge, demand, education, and training. In 1978, the Board recognizes nuclear pharmacy as its first specialty.	Health Science History	143.125	131.325	m	hmmm
1976	19761	Genentech, one of the earliest biotechnology companies, founded	US	Genentech helps to usher in the era of biotechnology-based medicine. Other companies soon follow, including Biogen (1978), Amgen (1980), and Immunex (1981).	Health Science History	143.125	131.325	m	hmmm
1976	19760	Medical Device Amendment of 1976	US	Requires the FDA to establish standards of performance for medical devices.	Legislation	144.090625	132.290625	m	hmmm
1977	19770	Tagamet becomes the first "blockbuster drug"	US	This anti-ulcer medication begins the era of blockbuster drugs, earning over $1 billion per year.	Health Science History	145.05625	133.25625	m	hmmm
1979	19790	American College of Clinical Pharmacy founded	US	Professional scientific society founded to provide leadership, education, advocacy for clinical pharmacists.	Health Science History	146.021875	134.221875	m	hmmm
1981	19810	Beginning of the AIDS epidemic	US	The CDC publishes a report about five previously healthy homosexual men becoming infected with Pneumocystis pneumonia. In 1982, The New York Times publishes an article about the new immune system disorder, which, by that time, has affected 335 people, killing 136 of them.	Disease/Catastrophe	146.9875	135.1875	m	hmmm
1982	19820	Chicago Tylenol murders	US	In Chicago, bottles of Tylenol are found to have been mysteriously laced with potassium cyanide. The incident leads to 7 deaths and results in tamper-resistant drug packaging.	Disease/Catastrophe	147.953125	136.153125	m	hmmm
1982	19820	FDA mandates tamper-evident packaging	US	Following the Tylenol murders, drug products are now required to bear tamper-evident packaging such as a foil induction seal, safety cap, triple-seal packaging, or an outer plastic safety seal.	Legislation	147.953125	136.153125	m	hmmm
1983	19830	Federal Anti-Tampering Act (Tylenol Bill)	US	In response to the Tylenol murders, this legislation makes tampering with consumer products a federal offense.	Legislation	148.91875	137.11875	m	hmmm
1983	19831	Orphan Drug Act of 1983	US	Following the start of the AIDS epidemic, this law provides tax and licensing incentives to manufacturers to develop drugs for diseased populations of 200,000 people or fewer.	Legislation	149.884375	138.084375	m	hmmm
1984	19840	Drug Price Competition Act of 1984 (AKA Hatch-Waxman Act)	US	This law marks the rise of the generic drug industry. It amends the Food, Drug and Cosmetic Act and creates an abbreviated new drug application process that requires only bioequivalence studies.	Legislation	150.85	139.05	m	hmmm
1986	19860	National Childhood Vaccine Injury Act	US	This law protects drug companies from lawsuits and liabilities resulting from vaccine-related injuries.	Legislation	151.815625	140.015625	m	hmmm
1986	19861	National Vaccine Injury Compensation Program	US	This program provides federal compensation for victims of vaccine-related injuries.	Legislation	152.78125	140.98125	m	hmmm
1987	19870	Azidothymidine (AZT) approved for use	US	AZT becomes the first drug approved as a treatment for AIDS.	Discovery/Invention	153.746875	141.946875	m	hmmm
1987	19871	Eli Lilly & Company introduces Prozac	US	Following the success of Tagamet, drug companies race to find the next blockbuster drug. In 1987, Prozac becomes the first Selective Serotonin Reuptake Inhibitor (SSRI) and it revolutionizes the field of mental health.	Discovery/Invention	153.746875	141.946875	m	hmmm
1987	19870	This is Your Brain on Drugs campaign premieres	US	One the most famous public service announcements in television history, this campaign featured dramatic scenes representing the harms of drug abuse.	Health Science History	154.7125	142.9125	m	hmmm
1987	19870	Montreal Protocol signed	(Global)	The Montreal Protocol on Substances that Deplete the Ozone Layer (or simply "The Montreal Protocol") is passed. This international treaty seeks to phase out all CFC propellants from consumer and medical products	Legislation	153.746875	141.946875	m	hmmm
1988	19880	First multidose dry powder inhalers approved	UK	The Serevent Diskhaler and Pulmicort Turbuhaler are the first dry powder inhalers to allow for different dosages.	Discovery/Invention	155.678125	143.878125	m	hmmm
1988	19880	Academy of Managed Care Pharmacy founded	US	Organization created to represent managed care pharmacy, a healthcare delivery system that aims to improve quality and accessibility of health care in the most cost-effective manner.	Health Science History	155.678125	143.878125	m	hmmm
1991	19910	Opioid epidemic begins	US	Though it is difficult to pinpoint a specific start date, the first wave of the opioid epidemic begins around 1991, when opioid-involved deaths rise sharply following an increase in their prescription. By 1999, 86% of patients taking opioids use them for non-cancer pain.	Disease/Catastrophe	156.64375	144.84375	m	hmmm
1994	19940	Dietary Supplement Health and Education Act of 1994	US	Defines "dietary supplement" and lays out specific types of substantiated claims manufacturers can make.	Legislation	157.609375	145.809375	m	hmmm
1995	19950	FDA approval of protease inhibitor drug	US	Saquinavir became the first protease inhibitor to receive FDA approval, marking a new class of AIDS treatment.	Discovery/Invention	158.575	146.775	m	hmmm
1996	19960	Health Insurance Portability and Accountability Act of 1996 (HIPAA)	US	Implements protections for patient information and specifies patients' rights regarding approval of access to records. Also requires "minimum necessary" use and disclosure of records.	Legislation	159.540625	147.740625	m	hmmm
2001	20010	Anthrax attacks	US	Beginning one week after the 9/11 terrorist attacks, letters containing anthrax spores are sent to several media outlets and senators.	Disease/Catastrophe	160.50625	148.70625	m	hmmm
2003	20030	SARS outbreak	(Global)	Believed to have spread from animals to humans, Severe Acute Respiratory Syndrome (SARS) affects over 8,000 people in 27 countries and causes 774 deaths.	Disease/Catastrophe	161.471875	149.671875	m	hmmm
2003	20030	21st Century Nanotechnology Research and Development Act	US	Beginning in 1999, President Clinton advocates for scientific and technological developments in nanoscale projects. In 2003, President Bush signs this landmark Act into law, unlocking billions of dollars for research.	Legislation	161.471875	149.671875	m	hmmm
2004	20040	Vioxx pulled from market	US	Introduced in 1999, popular painkiller Vioxx is pulled from the market after it is shown to increase the risk of heart attack and stroke. This event marks a significant moment in the regulation of prescription drugs.	Health Science History	162.4375	150.6375	m	hmmm
2007	20070	Exubera pulled from market	US	After predicting that an inhaled form of insulin would be a massive success as an alternative to injection, Pfizer soon pulls Exubera due to lackluster sales.	Health Science History	163.403125	151.603125	m	hmmm
2009	20090	H1N1 Pandemic	(Global)	First detected in the United States, this virus spreads quickly across the world. It contains a unique combination of influenza genes not previously identified in animals or humans. Between April 2009 to April 2010, there are estimated to be over 60 million cases and 12,000 deaths in the United States due to the virus.	Disease/Catastrophe	164.36875	152.56875	m	hmmm
2010	20100	Physician Payments Sunshine Act	US	Part of the Affordable Care Act, the Sunshine Act requires manufacturers to disclose payments made to physicians or teaching hospitals, as well as physician ownership or investment interests held in those companies.	Legislation	165.334375	153.534375	m	hmmm
2014	20140	Ebola outbreak begins	West Africa	On March 23, 2014, the World Health Organization reports cases of Ebola Virus Disease in the rural region of southeastern Guinea. The identification of these early cases marks the beginning of the West Africa Ebola epidemic, the largest in history.	Disease/Catastrophe	166.3	154.5	m	hmmm
2018	20180	Voluntary drug recall due to nitrosamines contamination	US	A massive quantity of antihypertensive drugs are recalled due to contamination from a source in China.	Health Science History	167.265625	155.465625	m	hmmm
2019	20190	COVID-19 pandemic begins	(Global)	Originating in Wuhan, China, the SARS-CoV-2 coronavirus quickly spreads across the world, causing the deaths of millions. Lockdown orders and face mask mandates are implemented in many parts of the world, as hospitals and health systems face unprecedented strain.	Disease/Catastrophe	168.23125	156.43125	m	hmmm
2019	20190	E-cigarettes become a topic of Congressional hearings	US		Health Science History	168.23125	156.43125	m	hmmm
2020	20200	COVID-19 vaccine development	US	Under the initiative known as "Operation Warp Speed," the US government pours billions of dollars into vaccine research in an attempt to accelerate the fight against COVID-19. Two vaccines emerge in late 2020, one from Pfizer and BioNTech and the other from Moderna. Both are granted an emergency use authorization by the FDA, and the first doses are administered in December 2020.	Disease/Catastrophe	169.2	157.4	m	
